course_code,course_name,department,teacher,credits,enrollment,class_capacity,teaching_class,campus,course_type,schedule_text,has_virtual_schedule,is_weekend_course,time_bucket
CHN0410J,汉语四（上）,密西根学院,郝丽霞,2.0,0,20.0,(2025-2026-1)-CHN0410J-01,闵行,限选,星期一第1-2节{1-7周};星期三第1-4节{1-7周},False,False,morning
SE3309,互联网产品开发与运维,计算机学院,任锐,3.0,96,103.0,(2025-2026-1)-SE3309-01,闵行,必修,星期一第1-2节{1-8周};星期五第1-2节{1-8周};星期六第1-8节{1-8周},True,True,morning
ED2202,设计思维,设计学院,庄慎,1.0,41,50.0,(2025-2026-1)-ED2202-01,闵行,必修,星期一第1-2节{1-8周},False,False,morning
EE4320,区块链技术及其在能源互联网的应用,电气工程学院,陈思捷,2.0,25,25.0,(2025-2026-1)-EE4320-01,闵行,限选,星期一第1-2节{1-8周};星期三第3-4节{1-8周},False,False,morning
NIS4344,计算机病毒原理及实践,计算机学院,刘功申,2.0,49,50.0,(2025-2026-1)-NIS4344-01,闵行,限选,星期一第1-2节{1-8周};星期三第3-4节{1-8周},False,False,morning
NIS3360,数字信号处理（E）,计算机学院,李生红,2.0,77,95.0,(2025-2026-1)-NIS3360-01,闵行,必修,星期一第1-2节{1-8周};星期四第1-2节{1-8周},False,False,morning
CIM1243,中国文化史,媒体与传播学院,姚君喜,2.0,29,30.0,(2025-2026-1)-CIM1243-01,闵行,必修,星期一第1-2节{1-8周};星期四第7-8节{1-8周},False,False,morning
ECOL4405,分子生态学,农业与生物学院,惠楠,2.0,1,17.0,(2025-2026-1)-ECOL4405-01,闵行,限选,星期一第1-2节{1-8周};星期三第3-4节{1-8周},False,False,morning
FOST3408,食品生物技术,农业与生物学院,孙向军,2.0,11,14.0,(2025-2026-1)-FOST3408-01,闵行,限选,星期一第1-2节{1-8周};星期三第1-2节{1-8周},False,False,morning
HORT4401,设施园艺学,农业与生物学院,王世平,2.0,28,28.0,(2025-2026-1)-HORT4401-01,闵行,"必修,限选",星期一第1-2节{1-8周};星期三第1-2节{1-8周},False,False,morning
ICE4316,数据通信网络模型和算法,集成电路学院（信息与电子工程学院）,孙卫强,2.0,33,33.0,(2025-2026-1)-ICE4316-01,闵行,限选,星期一第1-2节{1-8周};星期三第3-4节{1-8周},False,False,morning
PE4401P,工程流体动力学与传热,巴黎卓越工程师学院,张朝阳,4.0,0,34.0,(2025-2026-1)-PE4401P-01,闵行,必修,"星期一第1-2节{9周};星期一第3-4节{9周};星期一第9-10节{7-8周};星期一第7-10节{5-6周};星期二第9-10节{5-7周};星期二第9-10节{9周};星期三第9-10节{7周};星期三第9-10节{9周};星期三第7-10节{5-6周,8周};星期四第9-10节{5-8周};星期四第9-10节{9周};星期五第1-4节{8周};星期五第7-8节{9周};星期五第3-4,7-8节{5-6周}",False,False,morning
MS8410,海洋科学与技术前沿系列XVII(研）,研究生院,廖恩惠;康杜娟,2.0,0,10.0,MS8410-44000-M01[机器学习在海洋学中的应用],闵行,nan,星期一第1-2节{2-9周};星期四第1-2节{2-9周},False,False,morning
FL4604P,欧洲经济学概论,巴黎卓越工程师学院,Hubert KEMPF,2.0,0,38.0,(2025-2026-1)-FL4604P-01,闵行,"通识核心课程,限选","星期一第7-8节{9周};星期一第1-2,7-8节{10-11周};星期二第3-4节{9-11周};星期三第7-8节{9-10周};星期四第3-4节{9-10周};星期五第1-4节{9-10周}",False,False,morning
TC3000J,科技写作与交流,密西根学院,Tom Bowden,1.0,0,20.0,(2025-2026-1)-TC3000J-04,闵行,必修,星期一第1-2节{2-11周},False,False,morning
